Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Toronto Transit Commission,ATC Resignalling,ATC BD Resignalling - SOGR,3004.00,27637.00,60000.00,90000.00,90000.00,90000.00,90000.00,90000.00,90000.00,90000.00,720641.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,ATC Resignalling,ATC YUS Resignalling - SOGR,42240.00,72772.00, -   , -   , -   , -   , -   , -   , -   , -   ,115012.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Automotive Non-Revenue Vehicles,Automotive Non-Revenue Vehicles - SOGR,10314.00,8379.00,2812.00,2812.00,2812.00,2812.00,2812.00,2841.00,2841.00,2841.00,41276.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Bicycle Parking at Stations,Bicycle Parking at Stations, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Bridges and Tunnels - Various,Bridges and Tunnels - SOGR,37865.00,54137.00,56592.00,47283.00,46702.00,45313.00,48595.00,49382.00,50916.00,48354.00,485139.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Bus Overhaul Program ,Bus Overhaul Program - SOGR,70910.00,53891.00,21164.00,26469.00,1059.00,934.00,951.00,967.00,1065.00, -   ,177410.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Communications - Various,Communication -Improvement,232.00,708.00, -   , -   , -   , -   , -   , -   , -   , -   ,940.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Communications - Various,Communications - Legislated,574.00,486.00,454.00, -   , -   ,250.00,309.00,901.00,1141.00,500.00,4615.00,CW,City Wide,Legislated 
Toronto Transit Commission,Communications - Various,Communications - SOGR,9374.00,14150.00,15097.00,13670.00,15223.00,13114.00,12499.00,10505.00,9847.00,8527.00,122006.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Corporate Initiatives - CLA,Corporate Initiatives - CLA -  SOGR,8000.00,8000.00,8250.00,8250.00,8250.00,9000.00,9000.00,9250.00,9250.00,9500.00,86750.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Easier Access Phase II & III,Easier Access Phase III - Legislated,106843.00,159073.00,151469.00,94169.00,102360.00,5857.00, -   , -   , -   , -   ,619771.00,CW,City Wide,Legislated 
Toronto Transit Commission,Environmental Programs ,Environmental Programs - Legislated,6532.00,17487.00,11074.00,6368.00,6642.00,6820.00,6963.00,6183.00,5000.00,5100.00,78169.00,CW,City Wide,Legislated 
Toronto Transit Commission,Equipment - Various,Equipment - LEGIS,1298.00,2904.00,3614.00,4550.00,4930.00,7288.00,5600.00,4600.00,4600.00, -   ,39384.00,CW,City Wide,Legislated 
Toronto Transit Commission,Equipment - Various,Equipment - SOGR, -   , -   ,32723.00,10348.00, -   , -   , -   , -   , -   , -   ,43071.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Equipment - Various,Equipment -SOGRS,55450.00,65762.00,12304.00,15510.00,18523.00,15791.00,14504.00,17214.00,8351.00,12970.00,236379.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Fare Handling Equipment,Fare Handling Equipment - SOGR,350.00,1750.00,1800.00,1800.00,1800.00,1800.00,1300.00,1300.00,1300.00,1300.00,14500.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Fare System,Fare System - Expansion,4951.00,6013.00,4744.00, -   , -   , -   , -   , -   , -   , -   ,15708.00,CW,City Wide,Growth Related 
Toronto Transit Commission,Fare System,Fare System - SOGR,500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Finishes - Various,Finishes - Improvement,50.00,2196.00, -   , -   , -   , -   , -   , -   , -   , -   ,2246.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Finishes - Various,Finishes - SOGR,22330.00,27925.00,16404.00,11579.00,917.00,800.00,800.00,800.00,800.00,800.00,83155.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Finishes - Various,Finishes- H&S,900.00,900.00,950.00, -   , -   , -   , -   , -   , -   , -   ,2750.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade - SOGR,26508.00,16569.00,4400.00,6650.00,13417.00,32206.00,44025.00,44973.00,39715.00,12374.00,240837.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade- H&S,20922.00,36355.00,31895.00,32253.00,16589.00,13056.00,16650.00,11811.00, -   , -   ,179531.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Furniture & Office Equipment,Furniture & Office Equipment - SOGR,154.00,320.00,141.00,305.00,157.00,149.00,302.00,35.00,84.00,84.00,1731.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Information Technology System-Infrastructure,Computer Equipment & Software - H&S,1138.00,674.00, -   , -   , -   , -   , -   , -   , -   , -   ,1812.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Information Technology System-Infrastructure,Computer Equipment & Software - SOGR, -   , -   , -   ,3081.00,30002.00,9292.00,3570.00,3365.00,3494.00,3494.00,56298.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Information Technology System-Infrastructure,Information Tech. System-Infrastructure - SOGR,46941.00,68081.00,69094.00,52690.00, -   , -   , -   , -   , -   , -   ,236806.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Information Technology System-Infrastructure,Information Tech. Systems-Infrastructure SI,4261.00,3533.00,2221.00,1539.00, -   , -   , -   , -   , -   , -   ,11554.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Leslie Barns Streetcar Maint. & Storage Facility,Leslie Barns Streetcar Main. & Storage Facility, -   ,2330.00,7012.00, -   , -   , -   , -   , -   , -   , -   ,9342.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Line 1 Capacity Enhancement,Line 1 Capacity Enhancement- SI,30661.00,180627.00,112364.00,83896.00,126570.00,143282.00,162637.00,183924.00,120156.00,180894.00,1325011.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Line 2 Capacity Enhancement,Line 2 Capacity Enhancement- SI,10191.00,13595.00,35203.00,50036.00,31026.00,47079.00,78957.00,152932.00,77390.00,114686.00,611095.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Line 2 Capacity Enhancement,Line 2 Capacity Enhancement- SI , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-2186.00,-2186.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Line 4,Line 4 - Expansion, -   ,3705.00, -   , -   , -   , -   , -   , -   , -   , -   ,3705.00,CW,City Wide,Growth Related 
Toronto Transit Commission,McNicoll Bus Garage Facility, McNicoll Bus Garage Facility - Growth ,500.00,4864.00, -   , -   , -   , -   , -   , -   , -   , -   ,5364.00,20,Scarborough Southwest,Growth Related 
Toronto Transit Commission,On-Grade Paving Rehabilitation,On-Grade Paving Rehabilitation - SOGR,8235.00,18848.00,12133.00,4629.00,12220.00,12000.00,12000.00,12000.00,12000.00,10000.00,114065.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Other Bldgs & Structures Projects, Other Bldgs and Structures SI, -   , -   , -   , -   , -   , -   , -   , -   , -   ,20807.00,20807.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Other Bldgs & Structures Projects,Buildings and Structures - HS,737.00,2487.00,19155.00,25000.00,25804.00,22570.00, -   , -   , -   , -   ,95753.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Other Bldgs & Structures Projects,Other bldgs & structures projects - Expansion,204118.00,100997.00,25200.00,2823.00, -   , -   , -   , -   , -   , -   ,333138.00,CW,City Wide,Growth Related 
Toronto Transit Commission,Other Bldgs & Structures Projects,Other Buildings & Structure - Improvement,8153.00,4835.00,6707.00, -   , -   , -   , -   , -   , -   ,-20807.00,-1112.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Other Bldgs & Structures Projects,Other Buildings & Structures Projects - SOGRS,24382.00,64769.00,55455.00,110371.00,123440.00,70230.00,19894.00,1609.00,563.00,548.00,471261.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Other Bldgs & Structures Projects,Other Buildings and Structures - Legislated,9856.00,19924.00,22441.00,2929.00,580.00,970.00,1580.00,300.00, -   , -   ,58580.00,CW,City Wide,Legislated 
Toronto Transit Commission,Other Maintenance Equipment,Other Maintenance Equipment - SOGR , -   , -   ,191.00,1121.00,1137.00,1144.00,1173.00,1236.00,1297.00,1301.00,8600.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Other Maintenance Equipment,Other Maintenance Equipment - SOGR S2,1496.00,1091.00,995.00, -   , -   , -   , -   , -   , -   , -   ,3582.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Other Service Planning, Other Service Planning Expansion , -   ,584.00, -   , -   , -   , -   , -   , -   , -   , -   ,584.00,CW,City Wide,Growth Related 
Toronto Transit Commission,Other Service Planning,Other Service Planning - Improvement,5644.00,30528.00,5535.00,3200.00,3200.00,3100.00,3100.00,3000.00,2900.00,2800.00,63007.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Other Service Planning,Other Service Planning - Legislated,4358.00,3081.00,1546.00, -   , -   , -   , -   , -   , -   , -   ,8985.00,CW,City Wide,Legislated 
Toronto Transit Commission,Other Service Planning,Other Service Planning - SOGR,4732.00,2915.00,1016.00, -   , -   , -   , -   , -   , -   , -   ,8663.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems - Improvement , -   , -   ,239.00,239.00,322.00,329.00,341.00,362.00,375.00,400.00,2607.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems - SOGR,7177.00,10281.00,13309.00,14877.00,20341.00,27144.00,26758.00,19327.00,8497.00,8115.00,155826.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems -H&S,177.00,182.00,186.00,223.00,197.00,215.00,206.00,416.00,437.00,459.00,2698.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist/Electric Systems - Improvement,230.00,243.00, -   , -   , -   , -   , -   , -   , -   , -   ,473.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Purchase of 360 Wheel-Trans Vehicles,Purchase of 360 Wheel-Trans Vehicle ,11358.00,11345.00, -   , -   , -   , -   , -   , -   , -   , -   ,22703.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Purchase of Rail Non-Revenue Vehicle ,Purchase of Rail Non-Revenue Vehicle - Improvement,1366.00,4143.00,7765.00, -   , -   , -   , -   , -   , -   , -   ,13274.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Purchase of Rail Non-Revenue Vehicle ,Purchase of Rail Non-Revenue Vehicle - SOGR,2691.00,1449.00,8627.00,4273.00,10466.00,1376.00,2356.00,3774.00,2594.00, -   ,37606.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Purchase of Streetcars,Purchase of Streetcars - GE,14926.00,64494.00,194289.00,87006.00,4217.00, -   , -   , -   , -   , -   ,364932.00,CW,City Wide,Growth Related 
Toronto Transit Commission,Purchase of Streetcars,Purchase of Streetcars - SOGR,44959.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,44959.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Purchase of Subway Cars,Purchase of Subway Cars,1574.00,1633.00,21581.00,36551.00,51665.00,47188.00,1302.00, -   , -   , -   ,161494.00,CW,City Wide,Growth Related 
Toronto Transit Commission,Purchase of Subway Cars,Purchase of Subway Cars,5124.00,16456.00,27646.00,117159.00,64629.00,63823.00,82583.00,79393.00, -   , -   ,456813.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Purchases of Buses, Purchase of Buses - SI,13892.00,611.00, -   , -   , -   , -   , -   , -   , -   , -   ,14503.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Purchases of Buses,Purchase of Buses - SI, -   , -   ,611.00,611.00,611.00,611.00,611.00,611.00,611.00,611.00,4888.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Purchases of Buses,Purchases of Buses,266658.00,158048.00,159497.00, -   , -   , -   , -   , -   , -   , -   ,584203.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Purchases of Buses,Purchases of Buses - SOGR, -   , -   ,2068.00,8132.00, -   , -   , -   , -   , -   , -   ,10200.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Queensway Bus Garage Renovations,Queensway Bus Garage Renovations - SOGR, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Rail Non-Revenue Vehicle Overhaul,Rail Non-Revenue Vehicle Overhaul - SOGR,4184.00,7388.00,7187.00,6360.00,3821.00,1779.00,1375.00,761.00,1918.00,784.00,35557.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Safety Program,Safety Program - H&S ,975.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,9975.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Signal Systems - Various,Signal Systems - SOGR,15037.00,17951.00,13871.00,12361.00,2597.00, -   , -   , -   , -   , -   ,61817.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Signal Systems - Various,Signal Systems - Various, -   , -   , -   , -   ,7955.00,5624.00,3576.00,3770.00,4005.00,3388.00,28318.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Streetcar Overhaul Program,Streetcar Overhaul Program - SOGR,5551.00,11243.00,13216.00,8373.00,620.00, -   , -   , -   , -   , -   ,39003.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Streetcar Overhaul Program,Streetcar Overhaul Program- H&S ,946.00,4029.00,4033.00, -   , -   , -   , -   , -   , -   , -   ,9008.00,CW,City Wide,Health and Safety 
Toronto Transit Commission,Streetcar Overhaul Program,Streetcar Overhaul Program- SI, -   ,2257.00, -   , -   , -   , -   , -   , -   , -   , -   ,2257.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Subway Car Overhaul Program, Subway Car Overhaul Legislated,130.00,5231.00,4660.00,1782.00, -   , -   , -   , -   , -   , -   ,11803.00,CW,City Wide,Legislated 
Toronto Transit Commission,Subway Car Overhaul Program,Subway Car Overhaul Program - SOGR,27402.00,42088.00,30697.00,28483.00,15806.00,8205.00,10000.00,22460.00, -   , -   ,185141.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Subway Track,Subway Track - SOGR,27421.00,32195.00,32889.00,35064.00,35316.00,34872.00,34243.00,34666.00,35905.00,33829.00,336400.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Subway Track,Subway Track Improvement,59.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,59.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Surface Track,Surface Track - SOGR,29366.00,50323.00,52222.00,36401.00,28864.00,35000.00,35296.00,26417.00,28871.00,27978.00,350738.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Surface Track,Surface Track (Serv Impr),9591.00,352.00, -   , -   , -   , -   , -   , -   , -   , -   ,9943.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Surface Track,Surface Track Improvement,6149.00,5584.00,18820.00,30322.00,33459.00,11199.00, -   , -   , -   , -   ,105533.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Tools and Shop Equipment,Tools & Shop Equipment- SOGR , -   , -   ,2609.00,2847.00,1824.00,1764.00,1644.00,1561.00,2021.00,1768.00,16038.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Tools and Shop Equipment,Tools and Shop Equipment - SOGR,4219.00,3246.00, -   , -   , -   , -   , -   , -   , -   , -   ,7465.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Toronto Rocket Yard & Storage Track Accommodation,Toronto Rocket Yard - Storage Track Accommodation,23928.00,37179.00,39520.00,22908.00,11562.00, -   , -   , -   , -   , -   ,135097.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Toronto Rocket Yard & Storage Track Accommodation,Toronto Rocket Yard & Tail Track Accomodation, -   , -   , -   , -   ,3481.00, -   , -   , -   , -   , -   ,3481.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Traction Power - Various,Traction Power - SOGR,25323.00,30810.00,29513.00,24670.00,25492.00,24717.00,24957.00,26746.00,27754.00,27570.00,267552.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Traction Power - Various,Traction Power - Various (Serv Impr),2841.00,2215.00, -   , -   , -   , -   , -   , -   , -   , -   ,5056.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Transit Shelters & Loops , Transit Shelters & Loops - SOGR,545.00,545.00, -   , -   , -   , -   , -   , -   , -   , -   ,1090.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Transit Shelters & Loops ,Transit Shelter & Loops SOGR , -   , -   ,545.00,545.00,545.00,545.00,545.00,565.00,652.00,665.00,4607.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Warehouse Consolidation,Warehouse Consolidation  - SI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Toronto Transit Commission,Warehouse Consolidation,Warehouse Consolidation - SOGR,64.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,64.00,CW,City Wide,State of Good Repair 
Toronto Transit Commission,Yards and Roads - Various,Yards and Roads - Legislated,1369.00,952.00, -   , -   , -   , -   , -   , -   , -   , -   ,2321.00,CW,City Wide,Legislated 
Toronto Transit Commission,Yonge Bloor Capacity Improvements,Yonge Bloor Capacity Improvements ,65117.00,26000.00,132000.00,154000.00,198550.00,198550.00,198550.00,198550.00,179000.00,100038.00,1450355.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo, Ravens Roost ,Ravens Roost, -   , -   , -   ,1000.00,5471.00, -   , -   , -   , -   , -   ,6471.00,CW,City Wide,Growth Related 
Toronto Zoo, Savanna Indoor Winter Holding & Viewing,Savanna Indoor Winter Holding & Viewing - Constru , -   , -   ,10000.00,4000.00, -   , -   , -   , -   , -   , -   ,14000.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo, Savanna Indoor Winter Holding & Viewing,Savanna Indoor Winter Holding & Viewing - Design , -   ,1000.00, -   , -   , -   , -   , -   , -   , -   , -   ,1000.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo,Building & Services Refurbishment,Building & Services Refurbishment (Current) ,3400.00,725.00, -   , -   , -   , -   , -   , -   , -   , -   ,4125.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Building & Services Refurbishment,Building & Services Refurbishment (Future Years), -   ,2175.00,2500.00,2500.00,2500.00,2500.00,2500.00,2500.00,1500.00,1000.00,19675.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Carolian Forest Boardwalk,Carolian Forest Boardwalk, -   , -   , -   , -   ,225.00,500.00, -   , -   , -   , -   ,725.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo,Discovery Zone Refurbishment,4-Season Play & Programs, -   , -   , -   , -   , -   , -   ,1666.00,1176.00, -   , -   ,2842.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo,Discovery Zone Refurbishment,Water Play Expansion, -   , -   , -   , -   , -   ,195.00,195.00, -   , -   , -   ,390.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo,Discovery Zone Refurbishment,Wildlife Program Improvements, -   , -   , -   , -   ,223.00,601.00,923.00, -   , -   , -   ,1747.00,CW,City Wide,Service Improvement and Enhancement 
Toronto Zoo,Exhibit Refurbishment,Exhibit Refurbishment (Current) ,2250.00,400.00, -   , -   , -   , -   , -   , -   , -   , -   ,2650.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Exhibit Refurbishment,Exhibit Refurbishment (Future Years), -   ,1200.00,1288.00,1288.00,600.00,600.00,600.00,600.00,300.00,300.00,6776.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Grounds and Visitor Improvements,Ground and Visitors Improvements (Future Years), -   ,2100.00,1300.00,1200.00,1200.00,1200.00,1200.00,1200.00,600.00,600.00,10600.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Grounds and Visitor Improvements,Grounds and Visitor Improvement (Current) ,2100.00,700.00, -   , -   , -   , -   , -   , -   , -   , -   ,2800.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Information Systems,Information Systems (Current),1450.00,300.00, -   , -   , -   , -   , -   , -   , -   , -   ,1750.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Information Systems,Information Systems (Future Years), -   ,900.00,1200.00,1200.00,1200.00,1200.00,1200.00,750.00,550.00,300.00,8500.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Rhino Ridge,Rhino Ridge, -   , -   , -   , -   , -   , -   , -   ,300.00,2312.00, -   ,2612.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Welcome Area Redesign,Welcome Area - Phase B Construction, -   ,10172.00,7500.00, -   , -   , -   , -   , -   , -   , -   ,17672.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Welcome Area Redesign,Welcome Aread - Phase A Construction,4250.00,6172.00, -   , -   , -   , -   , -   , -   , -   , -   ,10422.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Wilderness North/Canadian Pavilion, Canadian Pavilion - Construction, -   , -   , -   , -   , -   , -   ,5700.00,4626.00, -   , -   ,10326.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Wilderness North/Canadian Pavilion,Wilderness North - Construction, -   , -   , -   , -   , -   , -   , -   , -   ,2000.00,10000.00,12000.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Wilderness North/Canadian Pavilion,Wilderness North/Canadian Pavilion - Design , -   , -   , -   , -   , -   ,1000.00, -   , -   , -   , -   ,1000.00,CW,City Wide,State of Good Repair 
Toronto Zoo,Winter Zoomobile, Winter Zoomobile (2022-2024), -   , -   ,500.00,1500.00, -   , -   , -   , -   , -   , -   ,2000.00,CW,City Wide,Service Improvement and Enhancement 
Transit Studies,Transit Projects,Waterfront Transit,7093.00,33292.00,373.00,115.00, -   , -   , -   , -   , -   , -   ,40873.00,CW,City Wide,Growth Related 
Transportation Services,Beecroft Exterion,2022 Commitment Adjustment,500.00,20240.00, -   , -   , -   , -   , -   , -   , -   , -   ,20740.00,18,Willowdale,Growth Related 
Transportation Services,Broadview Extension,2021 Final Year end Adjustment,170.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,170.00,14,Toronto-Danforth,Growth Related 
Transportation Services,Broadview Extension,2022 Commitment Adjustment,-4510.00,4510.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,14,Toronto-Danforth,Growth Related 
Transportation Services,Broadview Extension,Broadview Extension Property Acquisition,4340.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4340.00,14,Toronto-Danforth,Growth Related 
Transportation Services,City Bridge Rehabilitation , 2018 Adjustment - ECS,-533.00,-542.00,-549.00,-557.00,-566.00, -   , -   , -   , -   , -   ,-2747.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation , 2019 Adjustment Commitments, -   ,28497.00, -   , -   , -   , -   , -   , -   , -   , -   ,28497.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation , 2020 Adjustment Commitments , -   , -   ,28936.00, -   , -   , -   , -   , -   , -   , -   ,28936.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation , 2021 Adjustment Commitments , -   , -   , -   ,29382.00, -   , -   , -   , -   , -   , -   ,29382.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation , DMAF Culvert , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation ,2017 Recast Capital Budget,-5438.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-5438.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation ,2018 City Bridge Committed Cash Flow 2023 to 2027, -   ,7124.00,7234.00,7345.00,7459.00,7459.00, -   , -   , -   , -   ,36621.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation ,2021 Adjustment Commitments,27454.00,19921.00,34379.00, -   , -   , -   , -   , -   , -   , -   ,81754.00,CW,City Wide,Health and Safety 
Transportation Services,City Bridge Rehabilitation ,2022 Adjustment Commitments,-10000.00,10000.00, -   , -   ,29834.00, -   , -   , -   , -   , -   ,29834.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation ,2023 to 2027 City Bridge Cash Flow Request, -   , -   , -   , -   , -   ,29834.00,37852.00,38420.00,38996.00,39581.00,184683.00,CW,City Wide,State of Good Repair 
Transportation Services,City Bridge Rehabilitation ,City Bridge Rehab 2017 to 2026,48517.00,15000.00, -   , -   , -   , -   , -   , -   , -   , -   ,63517.00,CW,City Wide,State of Good Repair 
Transportation Services,Critical Interim Road Rehabilitation Pool ,2020 Adjustment Commitments,7000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,7000.00,CW,City Wide,State of Good Repair 
Transportation Services,Critical Interim Road Rehabilitation Pool ,2020 Adjustmnet Plan, -   , -   , -   ,8618.00,8748.00, -   , -   , -   , -   , -   ,17366.00,CW,City Wide,State of Good Repair 
Transportation Services,Critical Interim Road Rehabilitation Pool ,2021 Adjustment Commitments, -   ,9607.00, -   , -   , -   , -   , -   , -   , -   , -   ,9607.00,CW,City Wide,State of Good Repair 
Transportation Services,Critical Interim Road Rehabilitation Pool ,2022 Adjustment Commitments,-1000.00, -   ,8491.00, -   , -   , -   , -   , -   , -   , -   ,7491.00,CW,City Wide,State of Good Repair 
Transportation Services,Cycling Infrastructure,2017 to 2026 Cycling Infrastructure , -   , -   , -   , -   , -   , -   ,10000.00,10000.00,10000.00,10000.00,40000.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Cycling Infrastructure,2019 Adjustment Commitments,8303.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,8303.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Cycling Infrastructure,2021 Adjustment Commitments, -   ,8303.00,8303.00, -   , -   , -   , -   , -   , -   , -   ,16606.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Cycling Infrastructure,2022 Adjustment Commitments,11697.00,11697.00,11697.00,20000.00,20000.00,18000.00, -   , -   , -   , -   ,93091.00,CW,City Wide,Service Improvement and Enhancement 
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction , 2020 Adjustment Commitments,1000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1000.00,CW,City Wide,State of Good Repair 
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction , 2021 Adjustment Commitments, -   ,420.00, -   , -   , -   , -   , -   , -   , -   , -   ,420.00,CW,City Wide,State of Good Repair 
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction , 2022 Adjustment Commitments, -   ,200.00,800.00, -   , -   , -   , -   , -   , -   , -   ,1000.00,CW,City Wide,State of Good Repair 
Transportation Services,Ditch Rehabilitation and Culvert Reconstruction ,2018 to 2027 Ditch Rehab & Culvert Recon, -   , -   , -   ,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,7000.00,CW,City Wide,State of Good Repair 
